,Identifiers,Location,Longitude,Latitude
74,http://www.wikidata.org/entity/Q456130,Grote of Sint-Jacobskerk,4.306.962,52.077.436
75,http://www.wikidata.org/entity/Q7476534,Lutherse Kerk,5.122.222,52.088.333
76,http://www.wikidata.org/entity/Q2522863,Lutherse kerk,4.309.717,52.075.047
77,http://www.wikidata.org/entity/Q17441209,Oude Kerk,531.219,5.217.354
78,http://www.wikidata.org/entity/Q1419675,Nieuwe Kerk,4.891.944,52.373.889
79,http://www.wikidata.org/entity/Q848290,Sint-Janskerk,4.711.389,52.010.833
80,http://www.wikidata.org/entity/Q1766591,Singelkerk,488.832,5.236.745
81,http://www.wikidata.org/entity/Q594456,Oostkerk,362.056,5.150.278
82,http://www.wikidata.org/entity/Q60221269,Twentse Schouwburg,689.517,5.221.959
83,http://www.wikidata.org/entity/Q1774864,Kloosterkerk,4.309.444,52.081.667
84,http://www.wikidata.org/entity/Q118397988,Singer Laren,522.222,5.225.944
85,http://www.wikidata.org/entity/Q2275186,Nieuwe Kerk,462.972.222,5.237.722.222
86,http://www.wikidata.org/entity/Q2315000,Bovenkerk,5.920.278,52.555
87,http://www.wikidata.org/entity/Q253935,Sint-Servaasbasiliek,56.872,50.848.817
88,http://www.wikidata.org/entity/Q17379482,Nederlands Hervormde Kerk,508.974,5.222.832
89,http://www.wikidata.org/entity/Q2675099,Posthoornkerk,4.890.278,52.381.111
90,http://www.wikidata.org/entity/Q3368242,Domtoren,512.141,5.209.061
91,http://www.wikidata.org/entity/Q1689911,Sint-Walburgiskerk,61.957,52.139.586
92,http://www.wikidata.org/entity/Q1896136,Grote of Maria Magdalenakerk,3.890.278,51.503.056
93,http://www.wikidata.org/entity/Q612065,Oude Kerk,4.355.278,520.125
94,http://www.wikidata.org/entity/Q1905634,Martinikerk,65.688,532.195.086
95,http://www.wikidata.org/entity/Q2301723,Sint-Martinuskerk,5.698.056,50.850.556
96,http://www.wikidata.org/entity/Q43722503,Maranathakerk,5.054.883.333,51.561.508.333
97,http://www.wikidata.org/entity/Q1242547,Doopsgezinde Kerk,5.122.222,52.086.944
98,http://www.wikidata.org/entity/Q1867033,Koningskerk,493.612,523.484
99,http://www.wikidata.org/entity/Q2183522,Concertgebouw de Vereeniging,586.083.333,5.184.138.889
